2021-09-21 23:52:11 UTC Syncing #13272197 0xe495…e30a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5583255 LI:#13272215    4/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:52:19 UTC Syncing #13272198 0xfc1a…bd42     0.20 blk/s   42.8 tx/s    4.0 Mgas/s      0+   16 Qed Ancient:#5583256 LI:#13272215    4/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:52:25 UTC Syncing #13272199 0xf926…2332     0.20 blk/s   30.0 tx/s    1.9 Mgas/s      0+   15 Qed Ancient:#5583257 LI:#13272215    4/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:52:26 UTC Syncing #13272199 0xf926…2332     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5583257 LI:#13272215    4/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:52:33 UTC Syncing #13272200 0x09c2…811b     0.20 blk/s   24.8 tx/s    1.9 Mgas/s      0+   14 Qed Ancient:#5583258 LI:#13272215    4/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:52:40 UTC Syncing #13272201 0x732b…de4b     0.20 blk/s   14.4 tx/s    1.4 Mgas/s      0+   13 Qed Ancient:#5583259 LI:#13272215    4/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:52:41 UTC Syncing #13272201 0x732b…de4b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5583259 LI:#13272215    4/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:52:46 UTC Syncing #13272201 0x732b…de4b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5583259 LI:#13272215    4/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:52:51 UTC Syncing #13272201 0x732b…de4b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5583259 LI:#13272215    6/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:52:58 UTC Syncing #13272202 0x1db3…5ef1     0.20 blk/s   22.6 tx/s    2.7 Mgas/s      0+   12 Qed Ancient:#5583260 LI:#13272215    6/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:53:01 UTC Syncing #13272202 0x1db3…5ef1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5583260 LI:#13272215    6/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:53:06 UTC Syncing #13272202 0x1db3…5ef1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5583260 LI:#13272215    9/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:53:11 UTC Syncing #13272202 0x1db3…5ef1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5583260 LI:#13272215   10/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
