2021-09-22 03:36:37 UTC Syncing #13273170 0xedaf…e28f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5681475 LI:#13273186   25/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:36:37 UTC Syncing #13273170 0xedaf…e28f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681475 LI:#13273186   25/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:36:40 UTC Syncing #13273170 0xedaf…e28f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5681475 LI:#13273186   25/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:36:54 UTC Syncing #13273171 0x3392…15f5     0.20 blk/s   53.2 tx/s    6.0 Mgas/s      0+   14 Qed Ancient:#5681476 LI:#13273186   25/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:36:54 UTC Syncing #13273171 0x3392…15f5     0.10 blk/s   26.6 tx/s    3.0 Mgas/s      0+   14 Qed Ancient:#5681476 LI:#13273186   25/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:37:06 UTC Syncing #13273172 0xc78e…de56     0.10 blk/s   12.2 tx/s    1.4 Mgas/s      0+   13 Qed Ancient:#5681477 LI:#13273186   25/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:37:06 UTC Syncing #13273172 0xc78e…de56     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5681477 LI:#13273186   25/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:37:06 UTC Syncing #13273171 0x3392…15f5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5681476 LI:#13273186   25/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:37:10 UTC Syncing #13273172 0xc78e…de56     0.20 blk/s   24.4 tx/s    2.8 Mgas/s      0+   17 Qed Ancient:#5681477 LI:#13273190   25/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:37:15 UTC Syncing #13273172 0xc78e…de56     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5681477 LI:#13273190   25/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:37:20 UTC Syncing #13273172 0xc78e…de56     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#5681477 LI:#13273190   25/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:37:26 UTC Syncing #13273174 0x640e…53f5     0.40 blk/s   36.4 tx/s    3.9 Mgas/s      0+   15 Qed Ancient:#5681480 LI:#13273190   25/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:37:37 UTC Syncing #13273175 0x7e9f…5f89     0.10 blk/s    3.6 tx/s    0.3 Mgas/s      0+   15 Qed Ancient:#5681481 LI:#13273191   25/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
